DRILLHOLE_NO,z_true,EASTING_GDA2020,NORTHING_GDA2020
1713,11.479444444444445,281380.21,7105994.55
1714,12.5875,281406.41,7105995.32
1715,12.87,281755.64,7104843.5
1716,11.885625,281755.64,7104843.5
1717,14.586428571428572,281755.64,7104843.5
1718,12.877500000000001,281425.91,7106144.27
1719,14.1585,281761.74,7104843.6
1720,14.386500000000002,281755.64,7104843.5
1721,15.118,281755.64,7104843.5
1722,9.524999999999999,281518.16,7106136.73
1723,13.661818181818182,281761.74,7104843.6
1724,14.450454545454546,281755.64,7104843.5
1725,5.63625,281755.64,7104843.5
1726,16.80923076923077,281305.73,7105861.52
1727,10.66714285714286,281761.74,7104843.6
1728,8.91625,281755.64,7104843.5
1729,11.24388888888889,281755.64,7104843.5
1730,12.325625,281761.64,7104849.47
1731,9.703333333333333,281755.64,7104843.5
1732,7.039,281755.64,7104843.5
1733,8.163571428571428,281755.74,7104849.71
1734,10.21,281761.64,7104849.47
1735,11.19,281761.74,7104843.6
1736,12.800999999999998,281570.61,7106705.6
1737,11.43,281761.74,7104843.6
1738,10.4025,281761.74,7104843.6
1739,13.064545454545454,281761.74,7104843.6
1740,12.999500000000001,281755.64,7104843.5
1741,9.1435,281755.64,7104843.5
1742,6.9075,281755.64,7104843.5
1774,2.7166666666666672,289460.73,7097403.47
1775,3.453333333333333,289460.73,7097403.47
1776,2.8200000000000003,289466.53,7097403.56
1777,1.5250000000000001,289460.73,7097403.47
1778,0.5325,289466.53,7097403.56
1779,2.185,289466.53,7097403.56
1780,3.858333333333333,289460.73,7097403.47
1781,2.24875,289466.53,7097403.56
1782,2.4366666666666665,289460.73,7097403.47
1783,2.13375,289460.73,7097403.47
1784,3.0233333333333334,289460.73,7097403.47
1785,1.93,289466.71,7097410.66
1786,2.006666666666667,289466.71,7097410.66
1787,5.212000000000001,289460.73,7097403.47
1788,3.5425,289466.71,7097410.66
1789,4.082,289466.71,7097410.66
1790,1.2925,289466.71,7097410.66
1791,2.2866666666666666,289466.71,7097410.66
1792,3.88625,289466.71,7097410.66
1793,5.788333333333333,288251.66,7092029.74
1794,2.6275,288245.86,7092029.65
1795,4.59,286442.77,7087168.51
1796,0.305,286442.77,7087168.51
1797,0.7625,286435.7,7087161.53
1798,0.9125000000000001,286442.77,7087168.51
1799,5.241,286442.59,7087161.64
1800,2.3625,286442.59,7087161.64
1801,3.0,286442.59,7087161.64
1802,4.03625,286442.59,7087161.64
1803,5.755,286442.59,7087161.64
1804,0.455,286442.59,7087161.64
1805,4.38125,286442.59,7087161.64
1806,1.7266666666666666,286442.59,7087161.64
1807,3.2,286435.88,7087168.62
1808,3.01125,286442.77,7087168.51
1809,4.8375,286442.59,7087161.64
1810,53.63634146341464,273489.65,7088107.68
1811,34.89833333333333,273502.82,7087562.71
1812,109.40596491228071,278235.75,7105681.46
1813,80.2446,278235.64,7105687.67
1814,91.78717391304347,278235.64,7105687.67
1828,12.463888888888889,336336.22,6442457.22
1839,7.56125,336828.17,6452172.09
1846,10.770000000000001,334959.04,6457502.2
1850,3.0475000000000003,338549.07,6441642.97
1880,7.715624999999999,346415.05,6454083.13
1885,6.601666666666667,345469.22,6456656.19
1961,1.795,320002.93,6445295.17
1962,0.3025,320617.12,6445435.13
1963,1.341,321496.01,6445439.17
1964,1.8675,320676.94,6444559.03
1965,1.015,321450.11,6444586.28
1966,2.85,321319.17,6443794.0
1967,2.585,322211.13,6443841.15
1969,2.516,323359.93,6442920.05
1970,1.2966666666666666,323487.25,6442072.3
1982,1.9533333333333331,321139.24,6450954.08
1997,4.623333333333333,319265.97,6446870.17
2091,3.6574999999999998,314646.97,6454588.26
2092,3.7737499999999997,314073.0,6454572.26
2095,4.516249999999999,314642.13,6453207.03
2096,4.99125,314057.12,6453200.14
2097,4.0,314605.14,6452197.09
2098,3.0483333333333333,314047.95,6452222.09
2100,5.22875,314622.98,6451710.08
2113,1.6749999999999998,318813.11,6450906.2
2134,3.5075,318925.94,6453347.24
2135,2.7450000000000006,318956.05,6453769.22
2144,7.709999999999999,356046.12,6466179.14
2145,11.735714285714286,356545.19,6468807.12
2146,9.71142857142857,356965.24,6469240.1
2148,12.508636363636363,336904.15,6458668.12
2149,19.320555555555554,334482.08,6458864.13
2152,17.37388888888889,333561.12,6459026.15
